,epoch,d_fake_loss,d_real_loss,g_loss,d_loss
69,69,0.5427232384681702,0.06544382870197296,0.6118062734603882,0.6081670522689819
70,70,0.4481133818626404,0.2168704867362976,0.5976957678794861,0.664983868598938
71,71,0.397909551858902,0.26336026191711426,0.5905425548553467,0.6612697839736938
72,72,0.3965291976928711,0.3034442067146301,0.5855018496513367,0.6999734044075012
73,73,0.37089768052101135,0.28772255778312683,0.5984086990356445,0.6586202383041382
74,74,0.3823152482509613,0.24182389676570892,0.5980863571166992,0.624139130115509
75,75,0.4419645071029663,0.21064625680446625,0.5956505537033081,0.6526107788085938
76,76,0.43489906191825867,0.174002543091774,0.6040635704994202,0.6089016199111938
77,77,0.3849833011627197,0.19727551937103271,0.6170248985290527,0.5822588205337524
78,78,0.3277174234390259,0.24310708045959473,0.6320676207542419,0.5708245038986206
